location_id,zone,expected_tmrel_c,released_tmrel_c
114,6,15.81,17.6080000000006
114,7,16.896,18.0010000000005
114,8,18.013,18.8060000000005
114,9,17.42,19.4920000000005
114,10,17.435,18.8579999999999
114,11,18.295,19.3109999999999
114,12,19.315,20.7569999999999
114,13,19.959,22.2829999999999
114,14,20.925,23.4449999999999
114,15,21.72,24.268
114,16,21.975,24.455
114,17,22.225,24.614
114,18,22.458,24.436
114,19,22.554,24.113
114,20,22.434,23.3089999999999
114,21,22.072,24.2259999999999
114,22,22.458,25.1169999999999
114,23,22.766,25.2819999999999
114,24,23.272,25.3629999999999
114,25,23.595,25.224
114,26,24.491,24.9720000000001
114,27,25.546,25.331
114,28,26.88,26.216
131,6,17.522,17.8780000000006
131,7,18.904,18.2350000000005
131,8,19.679,19.0400000000005
131,9,19.211,19.9570000000005
131,10,18.384,19.1499999999999
131,11,18.866,19.7019999999999
131,12,20.037,21.0369999999999
131,13,21.248,22.4609999999999
131,14,22.463,23.5849999999999
131,15,23.433,24.457
131,16,24.014,24.849
131,17,24.194,25.111
131,18,24.256,25.104
131,19,24.096,24.612
131,20,23.52,23.6079999999999
131,21,24.233,24.2499999999999
131,22,25.119,25.2339999999999
131,23,25.471,26.0559999999999
131,24,25.617,26.5149999999999
131,25,25.635,26.244
131,26,25.59,25.6030000000001
131,27,26.062,25.922
131,28,26.889,26.669
102,6,18.478,18.5740000000006
102,7,19.497,18.9710000000005
102,8,20.25,19.7330000000005
102,9,19.428,20.2900000000005
102,10,18.622,19.5379999999999
102,11,19.166,19.9979999999999
102,12,20.356,21.4259999999999
102,13,21.681,22.7989999999999
102,14,22.916,24.0519999999999
102,15,23.893,24.801
102,16,24.518,25.142
102,17,24.729,25.457
102,18,24.817,25.427
102,19,24.521,25.037
102,20,23.804,23.8599999999999
102,21,24.421,24.3849999999999
102,22,25.257,25.3479999999999
102,23,26.092,26.2279999999999
102,24,26.455,27.2179999999999
102,25,26.356,27.1099999999999
102,26,26.097,26.0610000000001
102,27,26.398,26.261
102,28,27.129,26.897
125,6,16.941,17.6030000000006
125,7,18.234,18.0820000000005
125,8,19.248,18.8460000000005
125,9,18.459,19.9210000000005
125,10,17.991,19.1289999999999
125,11,18.75,19.6629999999999
125,12,19.994,21.0739999999999
125,13,21.263,22.4849999999999
125,14,22.488,23.7709999999999
125,15,23.513,24.522
125,16,24.135,24.857
125,17,24.324,25.093
125,18,24.439,25.085
125,19,24.227,24.64
125,20,23.642,23.6229999999999
125,21,24.345,24.2259999999999
125,22,25.196,25.2269999999999
125,23,25.748,25.9719999999999
125,24,25.824,26.3229999999999
125,25,25.658,25.819
125,26,25.563,25.2210000000001
125,27,25.944,25.518
125,28,26.802,26.443
135,6,17.7,18.1350000000006
135,7,18.952,18.5260000000005
135,8,19.898,19.4750000000005
135,9,19.194,20.2120000000005
135,10,18.449,19.5289999999999
135,11,18.944,19.7819999999999
135,12,20.195,21.2079999999999
135,13,21.573,22.7549999999999
135,14,22.757,23.8729999999999
135,15,23.606,24.615
135,16,24.066,24.81
135,17,24.12,24.972
135,18,24.113,24.814
135,19,23.955,24.386
135,20,23.489,23.4659999999999
135,21,24.243,24.2629999999999
135,22,25.049,25.2079999999999
135,23,25.241,25.6679999999999
135,24,25.369,25.9329999999999
135,25,25.517,25.547
135,26,25.558,25.3200000000001
135,27,25.918,25.568
135,28,26.718,26.37
6,6,19.589,19.1800000000006
6,7,20.093,19.6410000000006
6,8,20.803,20.0930000000006
6,9,19.383,20.3400000000005
6,10,18.571,19.4769999999999
6,11,19.217,19.7389999999999
6,12,20.425,21.2909999999999
6,13,21.785,22.9279999999999
6,14,23.151,24.1799999999999
6,15,24.336,25.123
6,16,24.996,25.415
6,17,25.105,25.668
6,18,24.93,25.277
6,19,24.566,25.015
6,20,23.804,23.6999999999999
6,21,24.469,24.3929999999999
6,22,25.293,25.4499999999999
6,23,26.203,26.2799999999999
6,24,26.798,27.5099999999999
6,25,26.608,27.0849999999999
6,26,26.027,25.9740000000001
6,27,26.299,26.194
6,28,27.052,26.821
13,6,18.388,18.4860000000006
13,7,19.465,19.2030000000006
13,8,20.321,19.8600000000005
13,9,19.4,20.3110000000005
13,10,18.692,19.4939999999999
13,11,19.215,19.8989999999999
13,12,20.425,21.3959999999999
13,13,21.811,22.7559999999999
13,14,23.029,24.0229999999999
13,15,23.849,24.666
13,16,24.329,24.827
13,17,24.425,25.01
13,18,24.402,24.877
13,19,24.228,24.467
13,20,23.689,23.6019999999999
13,21,24.413,24.4159999999999
13,22,25.189,25.3299999999999
13,23,25.511,25.9329999999999
13,24,25.756,26.3259999999999
13,25,25.932,26.212
13,26,25.954,25.8820000000001
13,27,26.351,26.088
13,28,27.051,26.671
11,6,19.491,18.9100000000006
11,7,20.058,19.2270000000006
11,8,20.76,19.8690000000005
11,9,19.411,20.0440000000005
11,10,18.52,19.1879999999999
11,11,19.125,19.5109999999999
11,12,20.322,21.0929999999999
11,13,21.642,22.7249999999999
11,14,22.995,23.9779999999999
11,15,24.152,25.008
11,16,24.814,25.296
11,17,24.896,25.527
11,18,24.672,25.093
11,19,24.386,24.833
11,20,23.726,23.6569999999999
11,21,24.417,24.4049999999999
11,22,25.257,25.3789999999999
11,23,26.035,26.2749999999999
11,24,26.422,27.2369999999999
11,25,26.346,26.8459999999999
11,26,25.955,25.9260000000001
11,27,26.291,26.15
11,28,27.044,26.779
145,6,17.594,17.6610000000006
145,7,18.842,18.0640000000005
145,8,19.69,18.8870000000005
145,9,18.989,19.7880000000005
145,10,18.374,18.9289999999999
145,11,19.004,19.5729999999999
145,12,20.226,21.0189999999999
145,13,21.445,22.3179999999999
145,14,22.643,23.6799999999999
145,15,23.535,24.444
145,16,24.196,24.78
145,17,24.443,25.107
145,18,24.585,25.131
145,19,24.427,24.828
145,20,23.897,23.8439999999999
145,21,24.545,24.4969999999999
145,22,25.327,25.4139999999999
145,23,25.889,26.2779999999999
145,24,26.077,26.9349999999999
145,25,26.033,26.7629999999999
145,26,26.005,25.8890000000001
145,27,26.347,26.008
145,28,27.067,26.69
81,6,18.954,18.5850000000006
81,7,19.882,19.0820000000005
81,8,20.572,19.5990000000005
81,9,19.771,20.1110000000005
81,10,18.868,19.4089999999999
81,11,19.341,19.8339999999999
81,12,20.493,21.3459999999999
81,13,21.841,22.7059999999999
81,14,23.051,23.9959999999999
81,15,23.979,24.803
81,16,24.608,25.18
81,17,24.806,25.502
81,18,24.83,25.423
81,19,24.556,25.11
81,20,23.855,23.9289999999999
81,21,24.47,24.4589999999999
81,22,25.288,25.4459999999999
81,23,26.13,26.3109999999999
81,24,26.514,27.4379999999999
81,25,26.506,27.3479999999999
81,26,26.3,26.3140000000001
81,27,26.586,26.404
81,28,27.27,27.005
163,6,18.364,18.7690000000006
163,7,19.324,19.2560000000006
163,8,20.147,20.0570000000005
163,9,19.208,20.5310000000006
163,10,18.488,19.7949999999999
163,11,19.066,20.1529999999999
163,12,20.257,21.4929999999999
163,13,21.61,22.9559999999999
163,14,22.843,24.1039999999999
163,15,23.784,24.754
163,16,24.336,24.986
163,17,24.514,25.251
163,18,24.604,25.151
163,19,24.317,24.755
163,20,23.639,23.6359999999999
163,21,24.327,24.2839999999999
163,22,25.189,25.2379999999999
163,23,25.844,26.0379999999999
163,24,26.06,26.6049999999999
163,25,26.071,26.433
